training_size,method,failure_rate,finite_interval_available,interval_condition_circuit_joint_coverage,interval_mean_width,mae,p95_absolute_error,rmse,worst_family_mae,worst_noise_family_mae,worst_shot_budget_mae,worst_strength_mae,paired_difference,ci_low,ci_high
64,safe_cell_simplex,0.2661916473765432,True,0.9366898148148148,0.7364741666509814,0.08049476052051972,0.30019960743156626,0.13424512654248155,0.11699811337861071,0.10202552829334882,0.10405640300009307,0.13749004437625956,0.0009042551697068109,0.0005358486138108557,0.0012855641373211864
64,safe_ridge,0.5419728973765432,True,0.938136574074074,0.7471994468359198,0.08318145093479626,0.2917652876572953,0.1335777802286157,0.1179270302231645,0.10044585661641293,0.10592135595094428,0.13536304636884441,0.003590945583983359,0.0029566443136890028,0.004258509857068895
64,safe_simplex,0.2686873070987654,True,0.938136574074074,0.7434651674786322,0.08131163176648759,0.2979230512324611,0.13405333988692933,0.11791676961683253,0.10267014350078023,0.10384269574935028,0.13620741477852727,0.0017211264156746892,0.0012802375184144425,0.0021940884854912347
64,simplex,0.6163966049382716,True,0.9292534722222222,1.4795036369997774,0.15343635244690568,0.5253654500581674,0.23568531701413162,0.22922098238890673,0.16547994249295672,0.1579075854588346,0.1794828851979983,0.07384584709609275,0.06847769148910886,0.07917004397789164
128,noisy_sampled,0.0,True,0.931886574074074,0.6803891130619579,0.07959049940109253,0.29550662636756897,0.13266395032405853,0.11533936858177185,0.10086224973201752,0.10329211503267288,0.1357416808605194,,,
128,raw_cell_affine,0.4859592013888889,True,0.9270543981481482,0.6597075619094539,0.07874242258619267,0.2824743062257766,0.1290874483735888,0.11023618352106147,0.09403289510171572,0.1034049802435839,0.1349727697948325,-0.0008480827646202287,-0.0012693793237350958,-0.0004200507450840501
128,rf,0.561400462962963,True,0.9133101851851851,1.1358046839879696,0.11938962577468219,0.39688602425158026,0.1837529457234084,0.18522223886669142,0.13176539851879518,0.12664719022881202,0.14957632181069,,,
128,safe_cell_simplex,0.3930000964506173,True,0.9365740740740741,0.7075242733529927,0.07949269781358195,0.2950181332194017,0.1325323033693203,0.11571663303011923,0.100019263719208,0.10161754706933318,0.13490772678149657,-9.780753723095682e-05,-0.0006350267607490678,0.0004611663017144959
128,safe_ridge,0.5203245563271605,True,0.9309027777777777,0.7232497892887678,0.08178916674434866,0.28536506770130265,0.13141684178564522,0.1159761736911608,0.09728246458912176,0.10389658997411141,0.13229703732028275,0.0021986613935357545,0.0014651644258547997,0.002934753232470073
128,safe_simplex,0.46198881172839507,True,0.9373842592592593,0.7134378105418755,0.08148665961023291,0.29516934915839954,0.13318266952565566,0.11863384104751813,0.10190345572289307,0.10250909851657904,0.13454272120740565,0.0018961542594200071,0.0012887200065480671,0.002534528356576501
128,simplex,0.5739703896604939,True,0.9256365740740741,1.1081053558213594,0.11713489589442197,0.3871026770020534,0.1791733578477243,0.1796954389124317,0.13023556154444413,0.12424377421109291,0.1476350960745076,0.03754439054360908,0.034072100448349504,0.04097107015567703
256,noisy_sampled,0.0,True,0.9087384259259259,0.6156788405858808,0.07959049940109253,0.29550662636756897,0.13266395032405853,0.11533936858177185,0.10086224973201752,0.10329211503267288,0.1357416808605194,,,
256,raw_cell_affine,0.4776692708333333,True,0.9063078703703704,0.6026617985910788,0.07881998425918853,0.2807810738682744,0.12890858397322688,0.11031633702869492,0.09315645970206,0.10353497155437784,0.13543209702563588,-0.0007705210916243728,-0.0012167553984417483,-0.0003178258253584558
256,rf,0.5247829861111111,True,0.9038773148148148,0.9390486798268781,0.10449383622367465,0.3622704750355332,0.16709285110742383,0.16632797824678627,0.1196564761747383,0.11310288143464572,0.13767834884752086,,,
256,safe_cell_simplex,0.3827907986111111,True,0.9068576388888889,0.6198977310467733,0.07769075934803028,0.29057186195079737,0.13064927383992675,0.11382264965840135,0.0983277532646016,0.0992377190417472,0.1312648477464105,-0.0018997460027826143,-0.0024319701188723246,-0.0013706992006356673
256,safe_ridge,0.49343412422839505,True,0.9102141203703704,0.6395178162400103,0.0796026491157291,0.28089035410921637,0.12894839306752132,0.11477353887520611,0.09472048853587046,0.10189441173466449,0.1295057508922039,1.2143764916201436e-05,-0.0006524531478628695,0.000682137974017597
256,safe_simplex,0.4214337384259259,True,0.909375,0.6287486656631456,0.07957558176102536,0.291408740828124,0.1312356774586109,0.11650534807158669,0.09995217441351506,0.10034082530608154,0.13220625335315273,-1.4923589787539717e-05,-0.000536945419347459,0.0005051541804185841
256,simplex,0.5362895447530864,True,0.9035300925925925,0.8806000896959447,0.100477395247096,0.3428735607227179,0.1587872037463873,0.15445066779254307,0.11682783660504391,0.10986916419124707,0.1347247840825342,0.020886889896283112,0.018242514294957875,0.023474015408540893
512,noisy_sampled,0.0,True,0.9178530092592593,0.6244852088391781,0.07959049940109253,0.29550662636756897,0.13266395032405853,0.11533936858177185,0.10086224973201752,0.10329211503267288,0.1357416808605194,,,
512,raw_cell_affine,0.4708116319444444,True,0.9198206018518519,0.618860119019842,0.07843180570327904,0.28207513615489,0.12889163024485487,0.1101343246742814,0.0939493419473984,0.1033101235740519,0.1346921691457975,-0.001158699647533855,-0.0015617107907557439,-0.0007585108519431995
512,rf,0.48920476466049384,True,0.9076388888888889,0.858672420703253,0.09228135920210599,0.3235155465831048,0.15066540127019226,0.1498929504180381,0.10614747216021041,0.1031280561501359,0.12681893275341727,,,
512,safe_cell_simplex,0.40241367669753086,True,0.9157118055555555,0.6177579620534661,0.07524064181605099,0.27964066225999024,0.12710021540209904,0.11067500022642092,0.09516626306162713,0.09659858751824228,0.12591593491989445,-0.004349863534761909,-0.0050167629122418135,-0.00368636580239098
512,safe_ridge,0.45741222993827163,True,0.9161747685185185,0.6396541819113745,0.07768644266689163,0.27649205901896573,0.1269433099947036,0.11348083451741375,0.09283962365845129,0.09935163493810137,0.12683378712247959,-0.001904062683921258,-0.002626104328190627,-0.0011819739082053586
512,safe_simplex,0.4207995756172839,True,0.91484375,0.6367970771181783,0.07796715690831363,0.285268567546871,0.12904676728662565,0.11533538883357715,0.09745732184689931,0.09813570417616521,0.1289092942875309,-0.0016233484424992687,-0.0022721215653459157,-0.0009621713973862451
512,simplex,0.5048369984567901,True,0.9120659722222222,0.7061944037799577,0.08492067318445498,0.29009700778422093,0.13506789988621165,0.12349387931940026,0.10238760418910223,0.10125358049019026,0.1283500875507691,0.005330167833642059,0.00388650443596111,0.006784168848212065
