fold,strength_tier,shots,noisy_sampled,linear,rf,hgb,mlp
1,2,128,0.48241763989193354,1.1407326709758001e-16,0.19716658484717345,0.32041577526089304,0.0
1,2,512,0.504400162488407,2.4108277022847646e-17,0.27004994586434355,0.22554989164724948,1.78089686107098e-17
1,2,2048,0.4829938792766142,2.6902963428006796e-16,0.2875958206369018,0.22941030008648375,0.0
1,2,10000,0.4881965704991225,3.3406655256485896e-16,0.27497787661700845,0.23682555288386872,1.370707561633428e-18
2,0,128,0.7672912742808624,0.010599460916504636,0.21320479343980492,0.008904471362827978,0.0
2,0,512,0.8724742686517698,0.032384191045438514,0.09514154030279161,8.008113656166999e-17,7.803561945921799e-19
2,0,2048,0.8940510281509284,0.05011952783011169,0.05582944401895987,1.1974674273609637e-16,0.0
2,0,10000,0.9066736827921009,0.05241761634739003,0.04090870086050881,2.7659128416151613e-16,1.2903046349869587e-18
2,1,128,0.5185191473305771,0.11120234981574471,0.37027850285367825,0.0,0.0
2,1,512,0.6098807693652746,0.1485088727838283,0.24161035785089718,6.282691593540274e-18,0.0
2,1,2048,0.6515808577485359,0.1685606716055501,0.1798584706459138,1.8833456621158522e-16,4.630852521128716e-18
2,1,10000,0.6605469110981176,0.17288491102656542,0.16656817787531694,0.0,2.0356138940254747e-18
2,2,128,0.14027101562635827,0.1926862454118908,0.4053085861923329,0.261734152769418,0.0
2,2,512,0.11314932912854714,0.23762283360415304,0.45367377001656245,0.19555406725073746,0.0
2,2,2048,0.07433876954503194,0.26502509938985064,0.40451631291945933,0.2561198181456581,0.0
2,2,10000,0.07881700480312741,0.26138112558557614,0.40612975240084676,0.2536721172104497,0.0
3,0,128,0.7814937642656586,0.0,0.1570774248201452,0.06142881091419608,2.4663852453708776e-18
3,0,512,0.9261238816812802,5.252796324202841e-16,0.07387611831871914,1.7723026849098617e-16,0.0
3,0,2048,0.9526794567479707,0.024621817747154325,0.022698725504874995,0.0,1.2498640140060375e-17
3,0,10000,0.9681052669512187,0.02874524973675537,0.0031494833120258954,3.383935769001007e-17,1.317739226200183e-17
3,1,128,0.5997464506401409,0.0,0.35100439333477984,0.04924915602507924,8.161264814657067e-18
3,1,512,0.7104712319177521,0.0025116599196716256,0.2870171081625761,1.764982128646769e-16,0.0
3,1,2048,0.7246816711399304,0.02007854319458485,0.25523978566548455,0.0,2.0393519187210883e-17
3,1,10000,0.7371419339253114,0.02199883445578522,0.24085923161890352,0.0,8.704979236426416e-18
3,2,128,0.2772891855401049,1.2016978822709354e-16,0.13694023203547906,0.585770582424416,1.5063092393199477e-17
3,2,512,0.2765227436336206,0.0,0.26283948058945705,0.4606377757769224,2.353608186437418e-17
3,2,2048,0.28205780543599557,4.273995452466596e-16,0.35413063983059767,0.3638115547334064,0.0
3,2,10000,0.31241075612163344,0.0,0.34411010209698384,0.34347914178138267,1.4908274949110994e-17
4,0,128,0.8421797151307292,1.0852080241103686e-17,0.13490023009642343,0.021021230296266312,0.001898824476580852
4,0,512,0.9176242774773768,0.018241315657557856,0.06413440686506534,0.0,2.7654896190639668e-18
4,0,2048,0.9392376762223519,0.03421155734270376,0.0265507664349444,3.933557266801123e-17,0.0
4,0,10000,0.938214701167911,0.04396954560934573,0.017815753222743327,5.916403359422776e-17,0.0
4,1,128,0.719731838180473,0.0006133896652211378,0.27965477215430584,0.0,0.0
4,1,512,0.7413280363351926,0.0681488950369495,0.19052306862785762,3.527919392003672e-16,0.0
4,1,2048,0.755073779711424,0.08948802835183835,0.15543819193673777,0.0,1.4428602156185544e-17
4,1,10000,0.758892713228249,0.09285664686203275,0.1482506399097183,0.0,8.033220233214069e-18
4,2,128,0.41732952064898315,0.02555088265819433,0.16074911820347282,0.3963704784893497,3.4911854765488375e-18
4,2,512,0.4370719292236623,0.048087298416593635,0.18512836781296782,0.3297124045467763,1.01205152016809e-17
4,2,2048,0.41964500453718234,0.029666811181714613,0.1901020215589118,0.36058616272219124,0.0
4,2,10000,0.41496549218561635,0.01834011474363655,0.2360105528122124,0.3306838402585348,1.3376339859585995e-17
